,name of company,number of students,sr no
0,,,
1,Capgemeni,48,1.
2,Infosys,24,2.
3,Atos,11,3.
4,L&T; Infotech,10,4.
5,Toppr.com,9,5.
6,BNP,6,6.
7,Byju's,6,7.
8,eClinicalWorks,5,8.
9,Alpha Plus,3,9.
10,Vistaar,2,10.
11,Seclore,1,11.
12,Bitwise,1,12.
13,Zycus,1,13.
14,Mouthshut.com,1,14.
15,Reliance Jio,4,15.
16,Zeus Learning,1,16.
17,V2S Tech,1,17.
18,134,,Total
