,name of company
0,zeus
1,Aditya Birla
2,capgemini
3,CMClimited
4,emco
5,gg
6,godrej
7,infosys
8,Hexaware
9,KPIT
10,LandT
11,nielsen
12,Oracle
13,Orange
14,persistent
15,punjlloyd
16,quinnox
17,reliance
18,Syntel
19,testfunds
20,Accenture
21,capgemini
22,essential
23,greaves
24,infrasofttech
25,lalit
26,mahindra
27,mastek
28,nseit
29,patni
30,qualitykiosk
31,sterling
32,tcs
33,vistaar
