,Name of the company
0,ACCENTURE
1,AMDOCS
2,ORACLE
3,INFOSYS
4,WORKS APPLICATION
5,MORGAN STANLEY
6,TECH MAHINDRA
7,LARSEN & TOUBRO IT
8,TATA
9,CAPGEMINI
10,ATOS ORIGIN
11,SIEMENS
12,MAESTROS 
13,RELIANCE
14,PWC
15,BYJU'S
16,VISTAAR
17,DELOITTE
18,SAP
19,BARCLAYS
20,JACOB'S
21,BNP PARIBAS
22,JIO
23,QUINNOX
24,MEDITAB
25,MEDTRONIC
26,TRANSASIA
27,JP MORGAN
28,MEDIA.NET
29,DIRECTI
30,EY
31,TEACH FOR INDIA
32,SECLORE
